x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2];Uncertainty V [m/s]
-28.4262;11.4474;3.86918;0.466849;0.0103009;-0.00145374;0.00558034;0.00727581
-28.0691;11.4474;3.88608;0.478719;0.00870667;-0.00207906;0.00517957;0.00680349
-27.7119;11.4474;3.90536;0.494316;0.00734909;-0.00205303;0.00534327;0.00651532
-27.3548;11.4474;3.91383;0.501405;0.00834034;-0.00218463;0.00595876;0.00690389
-26.9977;11.4474;3.91571;0.499339;0.00962603;-0.00226298;0.00623814;0.00728406
-26.6406;11.4474;3.90438;0.493199;0.0105987;-0.00237115;0.00541424;0.00735513
-26.2835;11.4474;3.90479;0.487541;0.0087459;-0.00214707;0.00633808;0.00712656
-25.9263;11.4474;3.91223;0.479823;0.00798537;-0.00131711;0.00669251;0.00699473
-25.5692;11.4474;3.92178;0.469599;0.00640422;-0.00113807;0.00717768;0.00673977
-25.2121;11.4474;3.93293;0.461405;0.00552037;-0.00037107;0.00684361;0.00643048
-24.855;11.4474;3.94343;0.461465;0.00561472;-0.000922568;0.00784614;0.00670966
-24.4979;11.4474;3.94369;0.470716;0.0055354;-0.000684663;0.00702138;0.00648042
-24.1408;11.4474;3.94233;0.478746;0.00488895;-0.000348064;0.00603656;0.00603476
-23.7836;11.4474;3.94168;0.481079;0.00575386;-0.00102555;0.00581939;0.00623189
-23.4265;11.4474;3.94635;0.483383;0.00540611;-0.000489967;0.0062361;0.00623997
-23.0694;11.4474;3.95402;0.488254;0.00493453;-0.000143437;0.00743596;0.00642145
-22.7123;11.4474;3.96441;0.489559;0.00474346;0.000232498;0.00684165;0.00622464
-22.3552;11.4474;3.96995;0.48969;0.00479658;5.63977e-05;0.0069567;0.0062592
-21.998;11.4474;3.97215;0.495895;0.00474259;0.000502285;0.00678171;0.00619793
-21.6409;11.4474;3.97774;0.502562;0.00567057;0.00143604;0.00687049;0.00648723
-21.2838;11.4474;3.98491;0.511598;0.00602374;0.0021951;0.00752397;0.00673128
-20.9267;11.4474;3.98858;0.516864;0.00602859;0.00304008;0.00855571;0.0069724
-20.5696;11.4474;3.99759;0.512463;0.00551265;0.00356517;0.00855074;0.00684675
-20.2125;11.4474;3.9974;0.50014;0.00571421;0.00336896;0.00731134;0.00660028
-19.8553;11.4474;3.99222;0.493024;0.00527153;0.00272412;0.00609821;0.00617685
-19.4982;11.4474;3.98783;0.486737;0.00587455;0.00179023;0.00496687;0.00601149
-19.1411;11.4474;3.98169;0.479967;0.00585057;0.000688522;0.00376953;0.00566277
-18.784;11.4474;3.97902;0.47331;0.00479804;0.000503029;0.00329136;0.00519275
-18.4269;11.4474;3.98322;0.469441;0.00394548;0.000236842;0.00273624;0.00471936
-18.0697;11.4474;3.99036;0.468444;0.00352449;-0.000270646;0.00222475;0.00437768
-17.7126;11.4474;3.99936;0.465947;0.00351128;-0.00027179;0.0015422;0.00410426
-17.3555;11.4474;4.00125;0.465462;0.00359093;-0.000283654;0.00139837;0.00407812
-16.9984;11.4474;3.99733;0.464047;0.00335361;-0.000455872;0.00142064;0.00399592
-16.6413;11.4474;3.99162;0.461755;0.00320691;-0.000699017;0.0023261;0.00429457
-16.2842;11.4474;3.99037;0.465299;0.00306942;-0.000720947;0.00313104;0.00454623
-15.927;11.4474;3.99418;0.467089;0.00287238;-8.18797e-05;0.0039281;0.00476112
-15.5699;11.4474;4.0003;0.470545;0.00238341;0.000618345;0.00572541;0.00519898
-15.2128;11.4474;4.00442;0.47678;0.00252658;0.000877641;0.00714371;0.00568701
-14.8557;11.4474;4.00651;0.479743;0.00326378;0.00117985;0.00843407;0.00624442
-14.4986;11.4474;4.0061;0.479223;0.00299776;0.00120329;0.00871717;0.00626992
-14.1414;11.4474;4.00468;0.480028;0.00301808;0.00101974;0.00855621;0.00622173
-13.7843;11.4474;4.00347;0.48422;0.00266966;0.000378378;0.00716496;0.00572556
-13.4272;11.4474;4.00661;0.492692;0.00247307;-5.53014e-05;0.00691124;0.00559294
-13.0701;11.4474;4.00688;0.491647;0.00222945;-1.52314e-05;0.00664167;0.00543787
-12.713;11.4474;4.01052;0.486564;0.00287046;-0.000493136;0.0062321;0.00550835
-12.3558;11.4474;4.01827;0.482416;0.00325037;-0.000995434;0.00439952;0.00504971
-11.9987;11.4474;4.02818;0.478841;0.00321522;-0.00124118;0.00381576;0.00484114
-11.6416;11.4474;4.03208;0.475691;0.00380386;-0.00124401;0.00299083;0.00475909
-11.2845;11.4474;4.03194;0.474963;0.00432077;-0.00150406;0.00282727;0.00488127
-10.9274;11.4474;4.03592;0.4773;0.00482302;-0.00138544;0.00283398;0.00505206
-10.5703;11.4474;4.04244;0.4806;0.00484308;-0.00103479;0.00290132;0.00508082
-10.2131;11.4474;4.04618;0.485017;0.00551934;-0.000908641;0.00308861;0.0053566
-9.85602;11.4474;4.04971;0.487903;0.0058007;-0.000354121;0.00318221;0.00547202
-9.4989;11.4474;4.04883;0.486225;0.00608484;0.000327727;0.00324774;0.00557751
-9.14178;11.4474;4.0481;0.481941;0.00630232;0.000835604;0.00328301;0.00565253
-8.78466;11.4474;4.0525;0.487139;0.00589127;0.00111665;0.00434975;0.00584267
-8.42755;11.4474;4.06078;0.493;0.00488353;0.00132637;0.00555728;0.00589938
-8.07043;11.4474;4.06695;0.495703;0.00413977;0.00134156;0.00590609;0.00578672
-7.71331;11.4474;4.06601;0.4923;0.00384628;0.00100486;0.00629254;0.00581344
-7.35619;11.4474;4.06152;0.482663;0.00432056;0.00161165;0.00714953;0.00618333
-6.99907;11.4474;4.06766;0.477508;0.00441388;0.00245361;0.00827033;0.00650236
-6.64195;11.4474;4.07606;0.472578;0.00394652;0.00230504;0.00829562;0.00638805
-6.28484;11.4474;4.08322;0.474491;0.00359473;0.00222861;0.00831769;0.00630143
-5.92772;11.4474;4.08706;0.478563;0.00418224;0.00308008;0.00923076;0.00668656
-5.5706;11.4474;4.08866;0.478426;0.00399144;0.00265593;0.00763002;0.006224
