x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2]
-23.007;11.1522;7.02971;0.738992;0.0023872;-0.00036524;0.0008705
-22.6504;11.1522;7.03044;0.739653;0.00264589;-0.000453402;0.000791709
-22.2938;11.1522;7.02834;0.73481;0.00246133;-0.000278413;0.000770679
-21.9372;11.1522;7.03307;0.727837;0.00235622;-0.000218088;0.000893743
-21.5807;11.1522;7.04736;0.724787;0.00214354;-0.000171014;0.000774683
-21.2241;11.1522;7.0626;0.726109;0.00170493;-0.00010614;0.000770567
-20.8675;11.1522;7.07618;0.726452;0.00152951;-0.000231141;0.000754829
-20.5109;11.1522;7.08223;0.725615;0.00142985;-0.00018125;0.000640626
-20.1543;11.1522;7.08362;0.727734;0.00134456;-0.000160883;0.000582703
-19.7977;11.1522;7.08347;0.731018;0.00115584;-0.00013662;0.000484501
-19.4411;11.1522;7.0793;0.734939;0.00122741;-6.98547e-05;0.000534161
-19.0845;11.1522;7.07643;0.737607;0.00121997;-8.24615e-05;0.000597538
-18.728;11.1522;7.07656;0.743556;0.00122288;-0.000143585;0.000538976
-18.3714;11.1522;7.08263;0.75229;0.00133448;-0.000166398;0.00063764
-18.0148;11.1522;7.08906;0.761707;0.00126617;-0.000208357;0.000606682
-17.6582;11.1522;7.08806;0.771421;0.00111224;-0.000201386;0.000636561
-17.3016;11.1522;7.08567;0.777157;0.00113049;-0.000206123;0.000561906
-16.945;11.1522;7.08593;0.777096;0.00109496;-0.000187359;0.000504289
-16.5884;11.1522;7.08768;0.772646;0.00106508;-0.000212028;0.000508223
-16.2318;11.1522;7.08939;0.766522;0.00101473;-0.000221001;0.000588929
-15.8753;11.1522;7.08895;0.76302;0.0010705;-9.75581e-05;0.000730223
-15.5187;11.1522;7.09155;0.763433;0.00106157;-0.000133594;0.00056926
-15.1621;11.1522;7.09753;0.765572;0.00100466;-0.000158759;0.000607478
-14.8055;11.1522;7.10099;0.766532;0.000950649;-0.000177814;0.000551539
-14.4489;11.1522;7.10075;0.765732;0.00093545;-0.000218084;0.00058965
-14.0923;11.1522;7.09984;0.765937;0.00108742;-0.000225869;0.000655713
-13.7357;11.1522;7.10327;0.76579;0.00117965;-0.000228976;0.000584305
-13.3791;11.1522;7.10882;0.765034;0.00119347;-0.000184479;0.000605414
-13.0226;11.1522;7.11633;0.763665;0.00114077;-0.000169511;0.00059365
-12.666;11.1522;7.12639;0.763003;0.00113668;-0.000174008;0.000605219
-12.3094;11.1522;7.13383;0.760425;0.00114581;-0.000164214;0.00065111
-11.9528;11.1522;7.13714;0.755277;0.0012451;-0.000238129;0.000704956
-11.5962;11.1522;7.13889;0.75054;0.00129583;-0.000198413;0.000719287
-11.2396;11.1522;7.13875;0.748998;0.00130266;-0.000148286;0.000724792
-10.883;11.1522;7.1332;0.748718;0.00122978;-0.000156824;0.0007012
-10.5264;11.1522;7.12818;0.750664;0.00113249;-0.000170499;0.000698895
-10.1699;11.1522;7.12723;0.755495;0.00105232;-0.000226706;0.000706755
-9.81327;11.1522;7.12962;0.758935;0.00107275;-0.000163932;0.000671579
-9.45669;11.1522;7.13678;0.760535;0.00112222;-0.000219924;0.000617861
-9.1001;11.1522;7.14166;0.761754;0.00121512;-0.000260102;0.000643902
-8.74351;11.1522;7.14525;0.760843;0.00121464;-0.000219001;0.000718002
-8.38692;11.1522;7.15422;0.761304;0.00134923;-0.000247025;0.000797864
-8.03034;11.1522;7.16635;0.76307;0.00129211;-0.000288539;0.000805941
-7.67375;11.1522;7.17323;0.765825;0.0012536;-0.000330594;0.000942109
-7.31716;11.1522;7.17433;0.766687;0.00112869;-0.000284303;0.000856008
-6.96058;11.1522;7.17745;0.765566;0.00100735;-0.000234147;0.000798697
-6.60399;11.1522;7.18349;0.765377;0.000971019;-0.000240552;0.000861528
-6.2474;11.1522;7.18812;0.765043;0.000893177;-0.000288759;0.000908825
-5.89081;11.1522;7.19087;0.764;0.000821162;-0.000299785;0.000855884
-5.53423;11.1522;7.19329;0.763787;0.000837234;-0.000302562;0.000778516
-5.17764;11.1522;7.19632;0.764866;0.000830908;-0.000315608;0.000815671
-4.82105;11.1522;7.2013;0.765745;0.000858762;-0.00033307;0.000965857
-4.46447;11.1522;7.2038;0.763752;0.000954856;-0.000326433;0.000940688
-4.10788;11.1522;7.20193;0.761029;0.000957895;-0.000298649;0.000919349
