VARIABLES=x/c,C_p,C_f,H,Re_theta,Re_delta_star
  0.10000000E+01  0.39943510E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99950400E+00  0.55316740E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99899760E+00  0.31140040E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99848060E+00  0.59779940E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99795260E+00  0.40511480E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99741370E+00  0.55367610E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99686340E+00  0.51451180E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99630170E+00  0.52324330E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99572830E+00  0.58648250E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99514290E+00  0.53943450E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99454530E+00  0.61030310E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99393530E+00  0.56829910E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99331270E+00  0.59873190E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99267710E+00  0.61750870E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99202840E+00  0.61852590E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99136620E+00  0.63984580E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99069040E+00  0.63662450E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99000050E+00  0.66451420E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98929650E+00  0.66620960E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98857800E+00  0.67714510E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98784480E+00  0.68587650E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98709640E+00  0.69846500E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98633280E+00  0.71164690E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98555360E+00  0.71304560E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98475840E+00  0.72516790E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98394700E+00  0.73042370E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98311920E+00  0.74258830E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98227450E+00  0.75526160E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98141260E+00  0.75712660E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98053340E+00  0.76746860E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97963640E+00  0.77357220E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97872130E+00  0.78552490E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97778770E+00  0.79565500E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97683540E+00  0.79980880E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97586400E+00  0.80315730E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97487310E+00  0.81388080E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97386250E+00  0.81739880E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97283170E+00  0.82897000E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97178050E+00  0.83969360E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97070830E+00  0.84321160E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96961490E+00  0.84664480E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96850000E+00  0.85673260E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96736290E+00  0.86067440E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96620360E+00  0.87233040E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96502160E+00  0.88246060E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96381630E+00  0.88636000E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96258760E+00  0.88771640E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96133490E+00  0.89988100E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96005800E+00  0.90339900E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.95875630E+00  0.91323250E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
